tempo,dist
-0.0037915706634521484,0
99.99620842933655,0
199.98946297168732,0
299.9958690404892,2.89
399.98992097377777,5.56
499.9952139854431,7.21
599.9896955490112,9.29
699.9959559440613,11.04
799.9960615634918,12.26
899.9959285259247,13.57
999.9897700548172,14.72
1099.9960479736328,15.63
1199.9895054101944,16.37
1299.9898810386658,16.69
1399.989830493927,16.99
1499.989739537239,16.99
1599.9899854660034,16.81
1699.996171593666,16.46
1799.9896504878998,15.81
1899.9960064888,15.05
1999.9961735010147,14.28
2099.9961030483246,13.27
2199.990112066269,11.96
2299.989639043808,10.08
2399.9900000095367,8.85
2499.9892694950104,7.16
2599.988809466362,5.8
2699.9899339675903,3.56
2799.9958819150925,0.61
2899.9899320602417,0
2999.989718914032,0
3099.989762067795,0
3199.995913505554,0
3299.989732027054,0
3399.9957889318466,0
3499.9959565401077,0
3599.9899555444717,0
3699.989894390106,0
3799.9960485696793,0
3899.9896866083145,0
3999.9885885715485,0
4099.994810461998,0
4199.989701509476,0
4299.988412499428,0
4399.996160984039,0
